state,action,value
"[0.0, 0.0, 0.5, 0.4, 0.4, 0.5, 0.0, 0.0, 2.0]",1,-0.08785156738435108
"[0.0, 0.0, 0.5, 0.4, 0.4, 0.5, 0.0, 0.0, 2.0]",2,-0.056437767766770425
"[0.0, 0.0, 0.5, 0.4, 0.4, 0.5, 0.0, 0.0, 2.0]",3,0.023375406040836735
"[0.0, 0.3, 0.5, 0.4, 0.4, 0.5, 0.0, 3.0, 2.0]",0,1.4417078884383465
"[0.0, 0.3, 0.5, 0.4, 0.4, 0.5, 0.0, 3.0, 2.0]",1,1.3263041394302881
"[0.0, 0.3, 0.5, 0.4, 0.4, 0.5, 0.0, 3.0, 2.0]",2,1.7345392043876535
"[0.0, 0.3, 0.5, 0.4, 0.4, 0.5, 0.0, 3.0, 2.0]",3,1.6343753259735392
"[0.3, 0.3, 0.4, 0.3, 0.3, 0.4, 0.4, 0.0, 2.0]",0,-0.1862734084826743
"[0.3, 0.3, 0.4, 0.3, 0.3, 0.4, 0.4, 0.0, 2.0]",1,-0.20460209693811962
"[0.3, 0.3, 0.4, 0.3, 0.3, 0.4, 0.4, 0.0, 2.0]",2,-0.11735461013304285
"[0.3, 0.3, 0.4, 0.3, 0.3, 0.4, 0.4, 0.0, 2.0]",3,-0.16930525417599002
"[0.3, 0.3, 0.4, 0.3, 0.3, 0.5, 0.4, 0.0, 2.0]",0,-0.041682002054394436
"[0.3, 0.3, 0.4, 0.3, 0.3, 0.5, 0.4, 0.0, 2.0]",1,-0.16698687681351954
"[0.3, 0.3, 0.4, 0.3, 0.3, 0.5, 0.4, 0.0, 2.0]",2,0.010083372234499625
"[0.3, 0.3, 0.4, 0.3, 0.3, 0.5, 0.4, 0.0, 2.0]",3,0.024026525546253417
"[0.3, 0.3, 0.5, 0.3, 0.3, 0.5, 0.4, 0.0, 2.0]",0,0.11864903834062163
"[0.3, 0.3, 0.5, 0.3, 0.3, 0.5, 0.4, 0.0, 2.0]",1,-0.09723877411874973
"[0.3, 0.3, 0.5, 0.3, 0.3, 0.5, 0.4, 0.0, 2.0]",2,0.01803811479002004
"[0.3, 0.3, 0.5, 0.3, 0.3, 0.5, 0.4, 0.0, 2.0]",3,-0.033357969333393835
"[0.4, 0.3, 0.5, 0.4, 0.4, 0.5, 0.4, 1.0, 2.0]",0,0.06442496750426037
"[0.4, 0.3, 0.5, 0.4, 0.4, 0.5, 0.4, 1.0, 2.0]",1,-0.006917729564155314
"[0.4, 0.3, 0.5, 0.4, 0.4, 0.5, 0.4, 1.0, 2.0]",2,0.0
"[0.4, 0.3, 0.5, 0.4, 0.4, 0.5, 0.4, 1.0, 2.0]",3,-0.006375715662404049
"[0.2, 0.3, 0.5, 0.4, 0.5, 0.5, 0.4, 0.0, 2.0]",0,-0.6594665383543253
"[0.2, 0.3, 0.5, 0.4, 0.5, 0.5, 0.4, 0.0, 2.0]",1,-0.928902058967653
"[0.2, 0.3, 0.5, 0.4, 0.5, 0.5, 0.4, 0.0, 2.0]",2,-0.9476354997363063
"[0.2, 0.3, 0.5, 0.4, 0.5, 0.5, 0.4, 0.0, 2.0]",3,-0.9028265744804578
